Wall time,Step,Value
1621666063.08749,720,-500.0
1621666063.1282096,760,-500.0
1621666063.2941356,920,-500.0
1621666063.3350568,960,-500.0
1621666063.458422,1080,-500.0
1621666063.4995387,1120,-500.0
1621666063.6208138,1240,-500.0
1621666063.6621811,1280,-500.0
1621666063.7033541,1320,-500.0
1621666063.869425,1480,-500.0
1621666064.2408445,1840,-500.0
1621666064.3658109,1960,-500.0
1621666064.528544,2120,-500.0
1621666064.611411,2200,-500.0
1621666064.6941934,2280,-500.0
1621666064.7349436,2320,-500.0
1621666064.8151085,2400,-500.0
1621666064.89757,2480,-500.0
1621666065.0608268,2640,-500.0
1621666065.10093,2680,-500.0
1621666065.1421802,2720,-500.0
1621666065.1829586,2760,-500.0
1621666065.2233815,2800,-500.0
1621666065.4697454,3040,-500.0
1621666065.5509732,3120,-500.0
1621666065.5914524,3160,-500.0
1621666065.6320016,3200,-500.0
1621666065.6730273,3240,-500.0
1621666065.793979,3360,-500.0
1621666065.8327634,3400,-500.0
1621666065.8768506,3440,-500.0
1621666065.9195852,3480,-500.0
1621666066.1285691,3680,-500.0
1621666066.3295379,3880,-500.0
1621666066.4511287,4000,-500.0
1621666066.4927857,4040,-500.0
1621666066.739124,4280,-500.0
1621666067.063141,4600,-500.0
1621666067.1873791,4720,-500.0
1621666067.2272954,4760,-500.0
1621666067.5107732,5040,-500.0
1621666067.6347163,5160,-500.0
1621666067.7169852,5240,-500.0
1621666067.9993496,5520,-500.0
1621666068.0398245,5560,-500.0
1621666068.1602798,5680,-500.0
1621666068.2040403,5720,-500.0
1621666068.487609,6000,-484.8333435058594
1621666068.5680227,6080,-463.30767822265625
1621666068.6497633,6160,-463.30767822265625
1621666068.6901162,6200,-463.30767822265625
1621666068.7317348,6240,-445.0714416503906
1621666069.0271118,6520,-433.5333251953125
1621666069.23471,6720,-433.5333251953125
1621666069.3194711,6800,-421.6875
1621666069.3601344,6840,-421.6875
1621666069.400309,6880,-421.6875
1621666069.5225396,7000,-421.6875
1621666069.6426373,7120,-411.70587158203125
1621666069.7248356,7200,-411.70587158203125
1621666069.7656887,7240,-411.70587158203125
1621666069.8920126,7360,-408.1111145019531
1621666070.1353595,7600,-396.47369384765625
