Wall time,Step,Value
1621469022.694304,2500,-500.0
1621469032.2143807,4224,-421.8999938964844
1621469041.1157658,5620,-374.0
1621469050.4341037,6957,-347.1499938964844
1621469055.607722,7848,-313.1600036621094
1621469060.148223,8577,-285.1000061035156
1621469066.737208,9576,-272.77142333984375
1621469074.9426086,10890,-271.42498779296875
1621469082.8656023,11991,-265.6222229003906
1621469095.17713,13246,-264.05999755859375
1621469103.0200627,14461,-262.0545349121094
1621469113.235165,15771,-261.9666748046875
1621469120.5051649,16852,-258.3692321777344
1621469129.7050216,17890,-254.6714324951172
1621469136.5260863,18671,-248.0399932861328
1621469147.5922577,19772,-246.2375030517578
1621469162.563793,21843,-256.0941162109375
1621469175.4346523,23888,-264.5666809082031
1621469191.5956461,26358,-276.631591796875
1621469204.6852095,28398,-283.1700134277344
1621469219.0711434,30575,-279.9100036621094
1621469231.3161738,32191,-278.8399963378906
1621469250.1062655,34242,-285.4200134277344
1621469265.896919,36304,-292.6700134277344
1621469281.5993247,38531,-306.07000732421875
1621469296.1829522,40719,-320.67999267578125
1621469307.5886307,42516,-328.67999267578125
1621469321.9850924,44739,-337.7900085449219
1621469336.1527867,46912,-348.5400085449219
1621469352.6511652,49228,-359.17999267578125
1621469364.5448358,51027,-365.0299987792969
1621469376.2010987,52828,-369.95001220703125
1621469389.480279,54772,-378.5799865722656
1621469401.260385,56559,-386.0799865722656
1621469411.932057,58138,-394.05999755859375
1621469428.2373762,59710,-398.7799987792969
1621469437.8192523,61106,-392.0
1621469448.9031546,62764,-388.1099853515625
1621469460.2892656,64442,-380.1499938964844
1621469471.0744274,66026,-375.5799865722656
1621469481.8883917,67648,-370.010009765625
1621469494.0661678,69278,-370.1400146484375
1621469508.6847053,71423,-371.07000732421875
1621469522.5055149,73473,-370.95001220703125
1621469535.7191799,75434,-368.260009765625
1621469546.1931572,77019,-362.2099914550781
1621469558.9558175,78576,-359.7900085449219
1621469570.8742847,80094,-352.7099914550781
1621469587.365153,82491,-354.9599914550781
1621469598.7380726,84186,-348.7300109863281
1621469613.2438536,86346,-352.3500061035156
1621469628.8357482,88304,-353.9100036621094
1621469644.9470358,90391,-355.3500061035156
1621469660.7201579,92621,-359.79998779296875
1621469675.179953,94757,-365.3800048828125
1621469688.0760057,96574,-367.8299865722656
1621469704.1888402,98837,-376.5199890136719
