Wall time,Step,Value
1621474574.7802258,2500,-500.0
1621474575.276133,5000,-500.0
1621474587.0632865,7500,-500.0
1621474608.1614628,9972,-498.54998779296875
1621474626.7721646,12449,-497.8800048828125
1621474645.6076329,14825,-494.0666809082031
1621474663.0464127,17135,-489.4285583496094
1621474688.1458697,19535,-488.2250061035156
1621474709.396069,21401,-475.3777770996094
1621474738.0756092,23712,-474.0
1621474768.358391,26207,-476.2545471191406
1621474795.3215046,28377,-472.6833190917969
1621474830.3080013,30848,-474.3230895996094
1621474855.8153079,32857,-469.0857238769531
1621474878.0423186,34768,-463.239990234375
1621474894.127221,37116,-463.61248779296875
1621474908.5773633,39188,-460.6588134765625
1621474919.684078,40481,-449.3777770996094
1621474926.2728193,41383,-435.1684265136719
1621474931.57381,42110,-420.6300048828125
1621474938.249283,43049,-404.9700012207031
1621474945.5026162,44032,-389.75
1621474952.9470894,45049,-374.8699951171875
1621474961.6295907,46222,-361.8399963378906
1621474968.7166257,47172,-346.5299987792969
1621474979.150881,48208,-333.0899963378906
1621474989.6834652,48913,-317.010009765625
1621474999.387775,49643,-300.2699890136719
1621475019.6503248,50989,-295.04998779296875
1621475035.637732,52059,-282.6199951171875
1621475048.4771538,53020,-267.239990234375
1621475064.1245196,54323,-258.54998779296875
1621475076.273698,55330,-243.8699951171875
1621475087.2519917,56241,-232.8800048828125
1621475100.7764997,57305,-224.41000366210938
1621475109.78137,57964,-207.49000549316406
1621475118.7029328,58638,-193.50999450683594
1621475129.6007512,59440,-188.60000610351562
1621475138.7340696,60175,-186.92999267578125
1621475146.9647207,60839,-186.3000030517578
1621475155.4285715,61454,-183.05999755859375
1621475162.7855878,62039,-179.0800018310547
1621475166.9718275,62688,-175.39999389648438
1621475171.889869,63432,-171.11000061035156
1621475177.0878134,64192,-169.2100067138672
1621475184.1177013,64959,-166.52000427246094
1621475190.9774938,65723,-167.11000061035156
1621475198.0888174,66508,-167.66000366210938
1621475204.3160481,67238,-161.5
1621475210.5557702,67952,-157.94000244140625
1621475220.91317,68598,-154.7899932861328
1621475228.6258354,69394,-149.72000122070312
1621475237.4689333,70343,-149.13999938964844
1621475243.000295,70978,-146.3800048828125
1621475249.5339253,71676,-142.7100067138672
1621475255.4475963,72310,-142.4600067138672
1621475267.8072345,73248,-145.10000610351562
1621475278.9924507,73925,-143.85000610351562
1621475300.1710045,75178,-149.02999877929688
1621475310.3987439,75867,-149.27999877929688
1621475326.1838808,76842,-152.8800048828125
1621475339.8273106,77711,-155.72000122070312
1621475350.464348,78408,-156.1999969482422
1621475365.928662,79380,-158.47999572753906
1621475376.9337819,80118,-158.25999450683594
1621475398.0358102,81420,-163.61000061035156
1621475411.1472645,82232,-164.08999633789062
1621475424.3721673,82993,-163.85000610351562
1621475436.4584208,83787,-164.49000549316406
1621475451.5140088,84671,-166.19000244140625
1621475462.445816,85788,-170.89999389648438
1621475471.0561435,86719,-172.25
1621475480.0535066,87497,-170.5399932861328
1621475489.1759436,88410,-173.32000732421875
1621475497.4069042,89253,-174.77000427246094
1621475507.3193047,90181,-177.7100067138672
1621475514.6797643,90939,-175.91000366210938
1621475524.5121655,91889,-178.63999938964844
1621475532.7866967,92542,-172.63999938964844
1621475541.5299659,93359,-173.9199981689453
1621475549.7600288,94124,-171.82000732421875
1621475558.2732778,94880,-170.69000244140625
1621475573.7990298,95797,-172.88999938964844
1621475593.3817534,97037,-175.57000732421875
1621475610.6208527,98153,-179.35000610351562
1621475630.8278165,99359,-178.38999938964844
