Wall time,Step,Value
1621674360.426544,720,-500.0
1621674360.517497,760,-500.0
1621674360.7584686,920,-500.0
1621674360.8087597,960,-500.0
1621674360.9600868,1080,-500.0
1621674361.009135,1120,-500.0
1621674361.2695947,1240,-500.0
1621674361.4778886,1280,-500.0
1621674361.5676687,1320,-500.0
1621674361.8247628,1480,-500.0
1621674362.286583,1840,-500.0
1621674362.4314332,1960,-500.0
1621674362.627472,2120,-500.0
1621674362.7231798,2200,-500.0
1621674362.8206372,2280,-500.0
1621674362.8695598,2320,-500.0
1621674362.9663334,2400,-500.0
1621674363.0653234,2480,-500.0
1621674363.2609448,2640,-500.0
1621674363.3092585,2680,-500.0
1621674363.3641822,2720,-500.0
1621674363.4117546,2760,-500.0
1621674363.4605281,2800,-500.0
1621674363.8348856,3040,-500.0
1621674363.9515533,3120,-500.0
1621674364.0249932,3160,-500.0
1621674364.1163104,3200,-500.0
1621674364.2203414,3240,-500.0
1621674364.3949146,3360,-500.0
1621674364.4501524,3400,-500.0
1621674364.507496,3440,-500.0
1621674364.5826972,3480,-500.0
1621674364.936176,3680,-500.0
1621674365.1884582,3880,-500.0
1621674365.3293269,4000,-500.0
1621674365.3758385,4040,-500.0
1621674365.6495492,4280,-500.0
1621674366.0987937,4600,-500.0
1621674366.328324,4720,-500.0
1621674366.4188113,4760,-500.0
1621674366.802222,5040,-485.1000061035156
1621674366.992553,5160,-460.7272644042969
1621674367.090938,5240,-460.7272644042969
1621674367.4228675,5520,-419.8461608886719
1621674367.4690983,5560,-419.8461608886719
1621674367.606476,5680,-402.0714416503906
1621674367.6531343,5720,-402.0714416503906
1621674368.0191808,6000,-388.8666687011719
1621674368.1102233,6080,-374.8125
1621674368.321706,6160,-374.8125
1621674368.3653522,6200,-362.4705810546875
1621674368.4526966,6240,-362.4705810546875
1621674369.031521,6520,-352.5
1621674369.3062725,6720,-332.8999938964844
1621674369.4112473,6800,-322.6190490722656
1621674369.4634387,6840,-322.6190490722656
1621674369.5128615,6880,-322.6190490722656
1621674369.7328973,7000,-316.7727355957031
1621674369.9179096,7120,-316.7727355957031
1621674370.0265083,7200,-310.7391357421875
1621674370.0854437,7240,-310.7391357421875
1621674370.2432275,7360,-303.0416564941406
1621674370.5481641,7600,-296.1199951171875
1621674370.5958493,7640,-292.19232177734375
1621674370.6910198,7720,-292.19232177734375
1621674370.8325796,7840,-286.8518371582031
1621674370.9461844,7920,-281.03570556640625
1621674371.000001,7960,-281.03570556640625
1621674371.099025,8040,-276.3448181152344
1621674371.2010741,8120,-276.3448181152344
1621674371.2520106,8160,-270.8666687011719
1621674371.6163473,8440,-261.21875
1621674372.0034146,8760,-254.76470947265625
1621674372.0515003,8800,-250.37142944335938
1621674372.1030972,8840,-250.37142944335938
1621674372.332442,9000,-247.0833282470703
1621674372.9254918,9400,-236.84616088867188
1621674373.0036807,9440,-234.5500030517578
1621674373.2449994,9520,-234.5500030517578
1621674373.4092107,9600,-231.80487060546875
1621674373.5385334,9680,-231.80487060546875
1621674373.7162902,9800,-229.76190185546875
1621674373.773696,9840,-229.76190185546875
1621674373.8508,9880,-228.093017578125
1621674374.0249646,10000,-228.093017578125
1621674374.8410332,10400,-223.47825622558594
1621674375.0370092,10480,-221.63829040527344
1621674375.4868314,10720,-217.448974609375
1621674375.661016,10840,-217.448974609375
1621674375.7132595,10880,-217.448974609375
1621674375.764727,10920,-217.25999450683594
1621674375.8147988,10960,-217.25999450683594
1621674375.915477,11040,-217.25999450683594
1621674376.1035287,11200,-216.8431396484375
1621674376.1948497,11280,-216.8431396484375
1621674376.286602,11360,-216.92308044433594
1621674376.376139,11440,-216.92308044433594
1621674376.600126,11640,-213.24073791503906
1621674376.869573,11880,-209.64285278320312
1621674377.1923265,12160,-207.5
1621674377.2376912,12200,-207.5
1621674377.4616616,12400,-205.3000030517578
1621674377.5061216,12440,-205.3000030517578
1621674377.6374748,12560,-203.67213439941406
1621674377.6821837,12600,-202.06451416015625
1621674377.726492,12640,-202.06451416015625
1621674377.9089315,12800,-199.140625
1621674377.9542406,12840,-199.140625
1621674378.0529184,12920,-197.6923065185547
1621674378.2049546,13040,-196.242431640625
1621674378.3866005,13200,-194.9104461669922
1621674378.433661,13240,-194.9104461669922
1621674378.4814758,13280,-193.91175842285156
1621674378.528471,13320,-193.91175842285156
1621674378.6182675,13400,-192.69564819335938
1621674378.7542877,13520,-191.45713806152344
1621674378.7991474,13560,-189.85916137695312
1621674378.8446298,13600,-189.85916137695312
1621674378.9828992,13720,-188.84722900390625
1621674379.1201637,13840,-187.65753173828125
1621674379.3882647,14080,-184.19737243652344
1621674379.5084872,14160,-184.19737243652344
1621674379.686198,14280,-183.63636779785156
1621674379.7417524,14320,-182.38461303710938
1621674379.8519268,14400,-181.37974548339844
1621674379.905441,14440,-181.37974548339844
1621674380.1622694,14640,-179.62962341308594
