Wall time,Step,Value
1621469781.702093,2271,-454.0
1621469793.3267012,4122,-411.70001220703125
1621469802.6514046,5461,-363.3999938964844
1621469809.361173,6554,-326.95001220703125
1621469820.2787714,7742,-308.8800048828125
1621469834.7206738,9475,-315.0666809082031
1621469849.7084253,11148,-317.71429443359375
1621469861.8563695,12794,-319.04998779296875
1621469873.0820553,14334,-317.73333740234375
1621469887.7018726,16558,-330.3999938964844
1621469906.8423164,19058,-345.81817626953125
1621469921.7223086,21358,-355.3166809082031
1621469935.8567615,23623,-362.8153991699219
1621469953.7537162,26123,-372.6142883300781
1621469968.331845,28397,-378.0799865722656
1621469980.8732746,30322,-378.48748779296875
1621469997.4249125,32523,-382.0941162109375
1621470021.7534068,34390,-381.5666809082031
1621470044.4487722,36235,-380.8631591796875
1621470060.457899,37786,-377.2799987792969
1621470074.7322223,39242,-369.0899963378906
1621470098.5956545,41331,-371.4800109863281
1621470119.28261,42733,-372.1199951171875
1621470133.4494977,44507,-378.92999267578125
1621470143.9640179,46487,-386.8599853515625
1621470157.2673788,48270,-387.3500061035156
1621470167.7179532,49763,-385.54998779296875
1621470176.7037323,51186,-383.32000732421875
1621470186.3483639,52678,-382.8399963378906
1621470196.204271,54176,-375.54998779296875
1621470206.815531,55855,-367.30999755859375
1621470217.3646326,57492,-360.6400146484375
1621470227.1680958,58978,-352.82000732421875
1621470237.383001,60569,-343.70001220703125
1621470246.876535,62033,-335.55999755859375
1621470260.5833664,64144,-337.4100036621094
1621470275.0310738,66338,-337.3399963378906
1621470290.0289912,68591,-341.2099914550781
1621470303.4563577,70650,-343.3699951171875
1621470325.5587976,72959,-350.9700012207031
1621470350.3154206,75331,-360.1600036621094
1621470375.9172933,77831,-364.29998779296875
1621470401.0224743,80271,-374.7099914550781
1621470419.9445758,82766,-381.9599914550781
1621470435.0618453,85266,-387.20001220703125
1621470448.6670496,87384,-390.57000732421875
1621470462.7322283,89370,-395.5299987792969
1621470474.7998734,91231,-399.9100036621094
1621470490.6911693,93186,-404.5400085449219
1621470505.225486,95320,-410.9200134277344
1621470517.9709587,97229,-413.2099914550781
1621470529.9736516,99083,-415.3800048828125
