Wall time,Step,Value
1621481602.072025,1000,-200.0
1621481606.7379234,2000,-200.0
1621481614.140008,4000,-200.0
1621481618.0320575,5000,-200.0
1621481621.8198946,6000,-200.0
1621481625.6019228,7000,-200.0
1621481629.4332507,8000,-200.0
1621481633.2090106,9000,-200.0
1621481636.9567554,10000,-200.0
1621481640.8101676,11000,-200.0
1621481644.6547568,12000,-200.0
1621481648.5346756,13000,-200.0
1621481652.2686577,14000,-200.0
1621481656.246546,15000,-200.0
1621481660.1073582,16000,-200.0
1621481663.763989,17000,-200.0
1621481667.3407104,18000,-200.0
1621481670.8799431,19000,-200.0
1621481674.5886054,20000,-200.0
1621481678.1890693,21000,-200.0
1621481681.8725207,22000,-200.0
1621481685.619963,23000,-200.0
1621481689.3909707,24000,-200.0
1621481693.2033327,25000,-200.0
1621481696.9175532,26000,-200.0
1621481704.3868442,28000,-200.0
1621481715.7821748,31000,-200.0
1621481719.5253778,32000,-200.0
1621481723.2177293,33000,-200.0
1621481727.020177,34000,-200.0
1621481730.8062074,35000,-200.0
1621481738.3939202,37000,-200.0
1621481742.0161707,38000,-200.0
1621481745.859806,39000,-200.0
1621481749.528265,40000,-200.0
1621481753.4179833,41000,-200.0
1621481761.0296764,43000,-200.0
1621481764.8098168,44000,-200.0
1621481768.5516016,45000,-200.0
1621481772.3685672,46000,-200.0
1621481776.1218305,47000,-200.0
1621481779.8460743,48000,-200.0
1621481787.4429548,50000,-200.0
1621481791.330142,51000,-200.0
1621481798.8757803,53000,-200.0
1621481802.8249328,54000,-200.0
1621481806.9449377,55000,-200.0
1621481810.98719,56000,-200.0
1621481815.050938,57000,-200.0
1621481819.128449,58000,-200.0
1621481827.2052233,60000,-200.0
1621481831.458352,61000,-200.0
1621481835.5587668,62000,-200.0
1621481839.5575864,63000,-200.0
1621481843.6084342,64000,-200.0
1621481847.705567,65000,-200.0
1621481851.6227117,66000,-200.0
1621481855.690978,67000,-200.0
1621481859.7437987,68000,-200.0
1621481863.8577442,69000,-200.0
1621481867.9977338,70000,-200.0
1621481876.1528728,72000,-200.0
1621481880.2639325,73000,-200.0
1621481884.4187214,74000,-200.0
1621481888.5628698,75000,-200.0
1621481892.6743486,76000,-200.0
1621481896.7769828,77000,-200.0
1621481900.85438,78000,-200.0
1621481904.8609667,79000,-200.0
1621481908.949035,80000,-200.0
1621481917.2316568,82000,-200.0
1621481921.397754,83000,-200.0
1621481929.6688898,85000,-200.0
1621481933.767015,86000,-200.0
1621481938.0331306,87000,-200.0
1621481942.1428459,88000,-200.0
1621481946.3397725,89000,-200.0
1621481950.4984062,90000,-200.0
1621481958.581524,92000,-200.0
1621481962.569618,93000,-200.0
1621481966.740775,94000,-200.0
1621481970.82297,95000,-200.0
1621481974.9159226,96000,-200.0
1621481979.0317183,97000,-200.0
1621481983.2143586,98000,-200.0
1621481991.6663294,100000,-200.0
1621481995.9853568,101000,-200.0
1621482000.0965242,102000,-200.0
1621482004.397415,103000,-200.0
1621482008.4826696,104000,-200.0
1621482012.5339427,105000,-200.0
1621482016.5272584,106000,-200.0
1621482020.631021,107000,-200.0
1621482029.0569868,109000,-200.0
1621482033.1739085,110000,-200.0
1621482037.3708148,111000,-200.0
1621482041.467011,112000,-200.0
1621482045.6751046,113000,-200.0
1621482049.7549765,114000,-200.0
1621482053.8895476,115000,-200.0
1621482058.029608,116000,-200.0
1621482062.1445587,117000,-200.0
1621482066.2262502,118000,-200.0
1621482070.1398654,119000,-200.0
1621482074.270141,120000,-200.0
1621482078.3990607,121000,-200.0
1621482082.4882305,122000,-200.0
1621482086.7189894,123000,-200.0
1621482090.7961535,124000,-200.0
1621482094.9812987,125000,-200.0
1621482099.2296064,126000,-200.0
1621482103.4254284,127000,-200.0
1621482107.4988136,128000,-200.0
1621482115.9045498,130000,-200.0
1621482120.043399,131000,-200.0
1621482132.4114401,134000,-200.0
1621482136.6751645,135000,-200.0
1621482145.142739,137000,-200.0
1621482149.4644551,138000,-200.0
1621482157.8911874,140000,-200.0
1621482166.0936444,142000,-200.0
1621482170.1469233,143000,-200.0
1621482174.203023,144000,-200.0
1621482178.286467,145000,-200.0
1621482182.3826165,146000,-200.0
1621482186.6148486,147000,-200.0
1621482195.0553763,149000,-200.0
1621482199.3219619,150000,-200.0
1621482203.493959,151000,-200.0
1621482207.7353213,152000,-200.0
1621482216.0929224,154000,-200.0
1621482220.2665741,155000,-200.0
1621482224.4711347,156000,-200.0
1621482228.5977433,157000,-200.0
1621482232.7425811,158000,-200.0
1621482236.909704,159000,-200.0
1621482241.0222936,160000,-200.0
1621482249.6034663,162000,-200.0
1621482253.9767652,163000,-200.0
1621482262.5812578,165000,-200.0
1621482266.924371,166000,-200.0
1621482275.390476,168000,-200.0
1621482279.5690944,169000,-200.0
1621482283.9901927,170000,-200.0
1621482292.7160523,172000,-200.0
1621482297.0830402,173000,-200.0
1621482301.4847984,174000,-200.0
1621482309.9205036,176000,-200.0
1621482314.2592652,177000,-200.0
1621482318.5455317,178000,-200.0
1621482322.812927,179000,-200.0
1621482331.0676782,181000,-200.0
1621482335.150199,182000,-200.0
1621482339.2826445,183000,-200.0
1621482343.3948936,184000,-200.0
1621482347.4565692,185000,-200.0
1621482351.4895792,186000,-200.0
1621482355.5275252,187000,-200.0
1621482359.5767543,188000,-200.0
1621482363.687708,189000,-200.0
1621482371.7531924,191000,-200.0
1621482375.8293,192000,-200.0
1621482387.624088,194935,-199.35000610351562
1621482403.5056653,198935,-199.35000610351562
1621482407.5434158,199935,-199.35000610351562
1621482411.6146572,200903,-199.02999877929688
1621482415.6847327,201903,-199.02999877929688
1621482419.6894603,202903,-199.02999877929688
1621482423.6142342,203903,-199.02999877929688
1621482431.4949057,205869,-198.69000244140625
1621482435.5096803,206869,-198.69000244140625
1621482439.614549,207869,-198.69000244140625
1621482443.6509438,208859,-198.58999633789062
1621482447.668346,209859,-198.58999633789062
1621482458.9525762,212710,-197.38999938964844
1621482462.8348136,213674,-197.38999938964844
1621482466.699498,214646,-197.11000061035156
1621482470.6731243,215646,-197.11000061035156
1621482474.8038745,216645,-197.10000610351562
1621482479.0599494,217645,-197.10000610351562
1621482483.2600088,218645,-197.10000610351562
1621482487.4951596,219645,-197.10000610351562
1621482491.7070386,220626,-197.22999572753906
1621482495.8125398,221594,-196.91000366210938
1621482500.0699763,222594,-196.91000366210938
1621482504.2512496,223591,-196.8800048828125
1621482512.6420264,225591,-197.22000122070312
1621482516.8913946,226591,-197.22000122070312
1621482521.1057308,227591,-197.22000122070312
1621482529.5597608,229591,-197.32000732421875
1621482533.8529258,230591,-197.83999633789062
1621482537.9380715,231545,-197.8000030517578
1621482542.009437,232545,-198.35000610351562
1621482546.2285068,233545,-198.7100067138672
1621482550.3846118,234518,-198.72000122070312
1621482554.6787536,235518,-198.72000122070312
1621482563.0259473,237490,-198.4499969482422
1621482566.9514213,238449,-198.0399932861328
1621482574.8334506,240332,-197.05999755859375
1621482578.6140149,241239,-196.4499969482422
1621482582.5300684,242160,-195.66000366210938
1621482589.7233799,243863,-192.72000122070312
1621482593.4775422,244760,-191.69000244140625
1621482597.3945682,245669,-190.77999877929688
1621482600.6439302,246448,-188.57000732421875
1621482604.4530532,247349,-187.5800018310547
1621482608.4508038,248283,-186.9199981689453
1621482612.358762,249233,-186.4199981689453
1621482616.4824994,250204,-186.58999633789062
