Wall time,Step,Value
1621544226.0481803,4000,-200.0
1621544231.08755,6000,-200.0
1621544233.5736835,7000,-200.0
1621544238.482879,9000,-200.0
1621544243.484344,11000,-200.0
1621544245.9060943,12000,-200.0
1621544248.4250994,13000,-200.0
1621544250.9332104,14000,-200.0
1621544253.421737,15000,-200.0
1621544255.8988824,16000,-200.0
1621544258.3873522,17000,-200.0
1621544260.9582176,18000,-200.0
1621544263.465048,19000,-200.0
1621544265.9601476,20000,-200.0
1621544268.4825156,21000,-200.0
1621544273.614637,23000,-200.0
1621544278.6963096,25000,-200.0
1621544281.1911273,26000,-200.0
1621544294.102588,31000,-200.0
1621544296.6310437,32000,-200.0
1621544299.1459126,33000,-200.0
1621544301.742297,34000,-200.0
1621544304.409262,35000,-200.0
1621544309.4955359,37000,-200.0
1621544317.1533265,40000,-200.0
1621544319.7082956,41000,-200.0
1621544324.648278,43000,-200.0
1621544327.3112893,44000,-200.0
1621544329.9069297,45000,-200.0
1621544332.4379473,46000,-200.0
1621544337.5249388,48000,-200.0
1621544342.6180966,50000,-200.0
1621544345.1158614,51000,-200.0
1621544352.8894188,54000,-200.0
1621544355.4887667,55000,-200.0
1621544358.0355198,56000,-200.0
1621544360.592146,57000,-200.0
1621544363.1138337,58000,-200.0
1621544370.7126184,61000,-200.0
1621544373.1421006,62000,-200.0
1621544378.3918645,64000,-200.0
1621544381.023306,65000,-200.0
1621544383.6154795,66000,-200.0
1621544386.2389805,67000,-200.0
1621544388.7495298,68000,-200.0
1621544391.421895,69000,-200.0
1621544393.973259,70000,-200.0
1621544399.2036602,72000,-200.0
1621544401.8085034,73000,-200.0
1621544404.5457022,74000,-200.0
1621544407.242586,75000,-200.0
1621544412.5885012,77000,-200.0
1621544417.9680438,79000,-200.0
1621544420.6469681,80000,-200.0
1621544425.961819,82000,-200.0
1621544428.706469,83000,-200.0
1621544433.9215937,85000,-200.0
1621544436.6513765,86000,-200.0
1621544439.2778575,87000,-200.0
1621544441.936814,88000,-200.0
1621544444.6166961,89000,-200.0
1621544447.252297,90000,-200.0
1621544452.5193017,92000,-200.0
1621544455.1294928,93000,-200.0
1621544457.760366,94000,-200.0
1621544460.5004795,95000,-200.0
1621544473.949788,100000,-200.0
1621544476.752218,101000,-200.0
1621544482.2211695,103000,-200.0
1621544487.569299,105000,-200.0
1621544490.2941456,106000,-200.0
1621544492.9271321,107000,-200.0
1621544501.004839,110000,-200.0
1621544503.6520627,111000,-200.0
1621544511.509849,114000,-200.0
1621544519.6777153,117000,-200.0
1621544524.8577335,119000,-200.0
1621544527.5553443,120000,-200.0
1621544530.174477,121000,-200.0
1621544540.7060199,125000,-200.0
1621544543.3897116,126000,-200.0
1621544545.9381716,127000,-200.0
1621544548.5673707,128000,-200.0
1621544553.898804,130000,-200.0
1621544556.5338273,131000,-200.0
1621544564.4745405,134000,-200.0
1621544572.5179024,137000,-200.0
1621544575.187858,138000,-200.0
1621544580.6308885,140000,-200.0
1621544585.910547,142000,-200.0
1621544588.5711884,143000,-200.0
1621544591.2103786,144000,-200.0
1621544593.9965103,145000,-200.0
1621544596.6096268,146000,-200.0
1621544599.2477136,147000,-200.0
1621544604.6356018,149000,-200.0
1621544607.2776604,150000,-200.0
1621544609.9228542,151000,-200.0
1621544612.4916043,152000,-200.0
1621544617.819477,154000,-200.0
1621544620.5113206,155000,-200.0
1621544623.3257408,156000,-200.0
1621544628.653984,158000,-200.0
1621544631.3434293,159000,-200.0
1621544634.0258384,160000,-200.0
1621544639.4403849,162000,-200.0
