Wall time,Step,Value
1621486180.9492054,1000,-200.0
1621486186.0122793,2000,-200.0
1621486194.171879,4000,-200.0
1621486198.3604994,5000,-200.0
1621486202.5070546,6000,-200.0
1621486206.6544538,7000,-200.0
1621486210.7955694,8000,-200.0
1621486214.9683578,9000,-200.0
1621486219.1035628,10000,-200.0
1621486223.2850113,11000,-200.0
1621486227.4761739,12000,-200.0
1621486231.5969443,13000,-200.0
1621486235.7085397,14000,-200.0
1621486239.9306023,15000,-200.0
1621486244.212185,16000,-200.0
1621486248.4337358,17000,-200.0
1621486252.576022,18000,-200.0
1621486256.7806375,19000,-200.0
1621486261.3030772,20000,-200.0
1621486265.8197167,21000,-200.0
1621486270.2382665,22000,-200.0
1621486274.812189,23000,-200.0
1621486279.2132998,24000,-200.0
1621486283.6099026,25000,-200.0
1621486288.145566,26000,-200.0
1621486296.9151998,28000,-200.0
1621486309.897263,31000,-200.0
1621486314.2002728,32000,-200.0
1621486318.4719605,33000,-200.0
1621486322.7678492,34000,-200.0
1621486327.3095903,35000,-200.0
1621486335.8370001,37000,-200.0
1621486340.1132405,38000,-200.0
1621486344.324733,39000,-200.0
1621486348.55916,40000,-200.0
1621486352.8456821,41000,-200.0
1621486361.1482184,43000,-200.0
1621486365.4066126,44000,-200.0
1621486369.6901066,45000,-200.0
1621486373.9397671,46000,-200.0
1621486378.2233465,47000,-200.0
1621486382.4807112,48000,-200.0
1621486391.1264174,50000,-200.0
1621486395.32449,51000,-200.0
1621486404.047275,53000,-200.0
1621486408.3218758,54000,-200.0
1621486412.666834,55000,-200.0
1621486416.7768161,56000,-200.0
1621486421.0712936,57000,-200.0
1621486425.2313948,58000,-200.0
1621486433.4298599,60000,-200.0
1621486437.4797487,61000,-200.0
1621486441.5052068,62000,-200.0
1621486445.7342126,63000,-200.0
1621486450.0932717,64000,-200.0
1621486454.3438284,65000,-200.0
1621486458.656234,66000,-200.0
1621486462.826477,67000,-200.0
1621486467.08389,68000,-200.0
1621486471.3336248,69000,-200.0
1621486475.6618361,70000,-200.0
1621486484.2026472,72000,-200.0
1621486488.4121697,73000,-200.0
1621486492.6614873,74000,-200.0
1621486496.83222,75000,-200.0
1621486500.9786735,76000,-200.0
1621486505.1609077,77000,-200.0
1621486509.488269,78000,-200.0
1621486513.6044402,79000,-200.0
1621486517.8164558,80000,-200.0
1621486526.1515741,82000,-200.0
1621486530.4341266,83000,-200.0
1621486538.893221,85000,-200.0
1621486543.2068224,86000,-200.0
1621486547.5406826,87000,-200.0
1621486551.9776583,88000,-200.0
1621486556.5779092,89000,-200.0
1621486561.1643984,90000,-200.0
1621486570.2555797,92000,-200.0
1621486574.7799566,93000,-200.0
1621486579.386794,94000,-200.0
1621486583.9890335,95000,-200.0
1621486588.434344,96000,-200.0
1621486593.049486,97000,-200.0
1621486597.723898,98000,-200.0
1621486606.939508,100000,-200.0
1621486611.6327612,101000,-200.0
1621486616.3265426,102000,-200.0
1621486620.7996218,103000,-200.0
1621486625.351484,104000,-200.0
1621486630.0077991,105000,-200.0
1621486634.5791693,105990,-199.89999389648438
1621486639.0961614,106990,-199.89999389648438
1621486643.7545073,107990,-199.89999389648438
1621486648.3938575,108990,-199.89999389648438
1621486653.0182085,109990,-199.89999389648438
1621486657.7045798,110990,-199.89999389648438
1621486662.331612,111990,-199.89999389648438
1621486666.8359406,112953,-199.52999877929688
1621486671.3508196,113953,-199.52999877929688
1621486675.754744,114943,-199.42999267578125
1621486680.3335774,115943,-199.42999267578125
1621486684.8685594,116943,-199.42999267578125
1621486689.5372055,117943,-199.42999267578125
1621486694.2877383,118943,-199.42999267578125
1621486698.6649492,119916,-199.16000366210938
1621486703.2521207,120908,-199.0800018310547
1621486707.773131,121908,-199.0800018310547
1621486712.2306397,122889,-198.88999938964844
1621486716.880046,123889,-198.88999938964844
1621486721.3442655,124865,-198.64999389648438
1621486725.8130355,125854,-198.63999938964844
1621486730.123404,126810,-198.1999969482422
1621486734.6229818,127804,-198.13999938964844
1621486743.6931612,129754,-197.63999938964844
1621486748.2053828,130727,-197.3699951171875
1621486761.544984,133656,-197.02999877929688
1621486765.9824364,134631,-196.8800048828125
1621486774.8278108,136577,-196.33999633789062
