Wall time,Step,Value
1621562938.45489,4600,-20.399999618530273
1621562961.7462466,9822,-20.200000762939453
1621562982.3702252,14443,-20.200000762939453
1621563006.0962203,19729,-20.100000381469727
1621563027.6042092,24578,-20.079999923706055
1621563050.663653,29509,-20.0
1621563072.160657,34203,-20.08571434020996
1621563096.4004865,39496,-20.075000762939453
1621563118.8963215,44341,-20.066667556762695
1621563139.8433092,48878,-20.059999465942383
1621563161.6880386,53606,-20.10909080505371
1621563182.385673,58074,-20.133333206176758
1621563205.5379825,63011,-20.13846206665039
1621563227.1424274,67674,-20.14285659790039
1621563249.731301,72379,-20.1733341217041
1621563275.5772216,77735,-20.149999618530273
1621563300.413083,82887,-20.117647171020508
1621563323.1390126,87679,-20.122222900390625
1621563347.3581479,92777,-20.094736099243164
1621563370.147558,97486,-20.110000610351562
1621563395.1575465,102573,-20.09000015258789
1621563418.546075,107308,-20.079999923706055
1621563440.9444027,111907,-20.100000381469727
1621563464.598317,116668,-20.149999618530273
1621563487.918728,121424,-20.190000534057617
1621563513.4121923,126608,-20.229999542236328
1621563536.8547454,131382,-20.200000762939453
1621563563.5473359,136929,-20.209999084472656
1621563588.2941768,142048,-20.209999084472656
1621563613.4894247,147320,-20.239999771118164
1621563640.937782,153050,-20.209999084472656
1621563663.698973,157918,-20.239999771118164
1621563687.2261388,162865,-20.260000228881836
1621563714.1728346,168457,-20.239999771118164
1621563739.4437776,173641,-20.209999084472656
1621563769.3241715,179849,-20.190000534057617
1621563789.154477,183935,-20.260000228881836
1621563812.7748654,188795,-20.25
1621563841.4115732,194610,-20.209999084472656
1621563863.7608795,199161,-20.229999542236328
1621563884.692664,203392,-20.270000457763672
1621563906.3830595,207866,-20.329999923706055
1621563927.1283948,212162,-20.350000381469727
1621563949.0400198,216726,-20.309999465942383
1621563972.758382,221727,-20.280000686645508
1621563992.6382887,225883,-20.309999465942383
1621564015.1877396,230573,-20.34000015258789
1621564036.9695916,235116,-20.3700008392334
1621564057.8151708,239374,-20.420000076293945
1621564078.2274842,243561,-20.420000076293945
1621564105.6903079,249117,-20.389999389648438
1621564127.6128008,253598,-20.360000610351562
1621564147.4435344,257675,-20.3799991607666
1621564172.938478,262845,-20.399999618530273
1621564195.1342287,267419,-20.43000030517578
1621564219.498546,272391,-20.459999084472656
1621564242.7085443,277098,-20.440000534057617
1621564264.0465686,281391,-20.479999542236328
1621564285.8170547,285924,-20.579999923706055
1621564308.027722,290539,-20.540000915527344
1621564330.7773454,295240,-20.530000686645508
1621564352.953731,299936,-20.510000228881836
1621564372.9525611,304194,-20.5
1621564392.030507,308271,-20.549999237060547
1621564412.5699964,312621,-20.579999923706055
1621564435.7882953,317472,-20.549999237060547
1621564462.9971442,323158,-20.510000228881836
1621564487.3855772,328164,-20.5
1621564512.292097,333314,-20.469999313354492
1621564540.930558,339174,-20.469999313354492
1621564569.1028874,345037,-20.540000915527344
1621564591.6319952,349811,-20.559999465942383
1621564625.991492,357077,-20.450000762939453
1621564656.9419847,363390,-20.420000076293945
1621564689.5989861,370000,-20.34000015258789
1621564722.4338026,376701,-20.280000686645508
1621564754.7152333,383373,-20.229999542236328
1621564789.4629626,390564,-20.15999984741211
1621564819.4298754,396652,-20.100000381469727
1621564851.4623027,403237,-20.06999969482422
1621564882.8734884,409600,-19.989999771118164
1621564918.5360472,416876,-19.889999389648438
1621564963.1778023,425974,-19.760000228881836
1621565003.6847246,434224,-19.690000534057617
1621565039.9562435,441718,-19.6299991607666
1621565074.9369538,448985,-19.579999923706055
1621565114.483594,457242,-19.520000457763672
1621565152.1104293,465044,-19.420000076293945
1621565201.3265033,475104,-19.25
1621565242.6042314,483493,-19.079999923706055
1621565290.856936,493387,-18.850000381469727
1621565334.5563345,502438,-18.6200008392334
1621565380.187446,511849,-18.579999923706055
1621565431.2790632,522161,-18.350000381469727
1621565470.1525846,530048,-18.31999969482422
1621565509.9467158,538186,-18.34000015258789
1621565555.3668175,547412,-18.219999313354492
1621565602.1413388,556853,-18.059999465942383
1621565639.7590563,564476,-18.010000228881836
1621565680.1731682,572575,-17.860000610351562
1621565723.5861833,581350,-17.75
1621565765.7591891,589877,-17.709999084472656
1621565811.3857994,599467,-17.530000686645508
1621565856.2911558,608848,-17.3799991607666
1621565897.290119,617478,-17.309999465942383
1621565944.557232,627231,-17.15999984741211
1621565984.5285127,635613,-17.079999923706055
1621566026.511318,644344,-17.040000915527344
1621566068.1846704,652801,-16.959999084472656
1621566116.315541,662357,-16.889999389648438
1621566156.141103,670417,-16.920000076293945
1621566193.6792092,677927,-17.030000686645508
1621566236.524243,686477,-16.93000030517578
1621566276.7689378,694500,-17.06999969482422
1621566318.1961637,702873,-17.0
1621566352.9964252,709841,-17.0
1621566393.93185,718079,-17.030000686645508
1621566440.7243204,727421,-16.989999771118164
1621566480.2737849,735310,-16.950000762939453
1621566520.6900058,743582,-17.030000686645508
1621566560.7634287,751957,-17.040000915527344
1621566602.486482,760629,-16.93000030517578
1621566640.7147753,768642,-17.020000457763672
1621566681.5210743,777013,-17.06999969482422
1621566724.8666854,785903,-17.0
1621566769.9115524,795097,-16.959999084472656
1621566811.1241336,803455,-16.920000076293945
1621566849.0395112,811105,-17.0
1621566893.26312,819919,-17.09000015258789
1621566930.3119538,827356,-17.290000915527344
1621566973.8220682,836119,-17.31999969482422
1621567018.5816748,845166,-17.209999084472656
1621567061.6185052,853845,-17.219999313354492
1621567099.871428,861586,-17.15999984741211
1621567134.221778,868448,-17.200000762939453
1621567169.0520873,875492,-17.1200008392334
1621567204.665317,882678,-17.1299991607666
1621567244.5067525,890817,-17.209999084472656
1621567283.9731195,899118,-17.170000076293945
1621567323.084518,907235,-17.139999389648438
1621567359.124184,914964,-17.200000762939453
1621567400.0395608,923556,-17.31999969482422
1621567431.4901748,930140,-17.5
1621567467.149131,937433,-17.540000915527344
1621567506.8512974,945248,-17.579999923706055
1621567548.45731,953523,-17.649999618530273
1621567582.8898282,960522,-17.790000915527344
1621567614.522259,966910,-17.75
1621567647.2167175,973461,-17.860000610351562
1621567676.628157,979356,-17.850000381469727
1621567707.7047477,985617,-17.940000534057617
1621567735.762405,991266,-18.079999923706055
1621567766.7887042,997601,-18.170000076293945
