Wall time,Step,Value
1621577820.7030675,4824,-19.799999237060547
1621577842.615072,9756,-20.0
1621577864.7532778,14700,-20.133333206176758
1621577886.6626313,19658,-20.200000762939453
1621577907.4051497,24320,-20.200000762939453
1621577928.3000653,28966,-20.233333587646484
1621577948.3872502,33535,-20.22857093811035
1621577968.8820314,38187,-20.25
1621577988.8716617,42736,-20.288888931274414
1621578008.4443755,47044,-20.34000015258789
1621578029.9417472,51791,-20.381818771362305
1621578050.2182574,56251,-20.41666603088379
1621578071.8712063,61084,-20.44615364074707
1621578092.9666276,65774,-20.44285774230957
1621578112.1662018,69959,-20.46666717529297
1621578131.4936342,74126,-20.487499237060547
1621578151.455197,78441,-20.505882263183594
1621578170.7271042,82579,-20.511110305786133
1621578190.0467522,86812,-20.515789031982422
1621578209.253102,90988,-20.520000457763672
1621578228.9588628,95200,-20.579999923706055
1621578248.0113862,99292,-20.6200008392334
1621578268.4506404,103598,-20.649999618530273
1621578286.65553,107478,-20.68000030517578
1621578306.068719,111572,-20.719999313354492
1621578324.805739,115542,-20.75
1621578343.2762232,119497,-20.780000686645508
1621578362.4668415,123605,-20.799999237060547
1621578380.8531055,127605,-20.81999969482422
1621578399.5584085,131639,-20.829999923706055
1621578419.3688505,135639,-20.84000015258789
1621578437.6879184,139581,-20.850000381469727
1621578457.5832608,143813,-20.81999969482422
1621578475.3420885,147633,-20.850000381469727
1621578494.5792603,151769,-20.850000381469727
1621578513.9152267,155935,-20.850000381469727
1621578533.373367,159967,-20.860000610351562
1621578553.7442255,164326,-20.8799991607666
1621578572.2431426,168315,-20.899999618530273
1621578592.0374258,172603,-20.90999984741211
1621578610.82529,176749,-20.90999984741211
1621578632.7196913,180976,-20.90999984741211
1621578654.3347712,185516,-20.90999984741211
1621578675.9697003,190116,-20.90999984741211
1621578701.0532084,195496,-20.90999984741211
1621578724.4142785,200398,-20.90999984741211
1621578750.328215,205873,-20.920000076293945
1621578775.7188792,211151,-20.920000076293945
1621578800.8871315,216457,-20.90999984741211
1621578827.2305164,221837,-20.90999984741211
1621578852.5338016,227157,-20.90999984741211
1621578875.9033105,232025,-20.90999984741211
1621578897.704365,236653,-20.950000762939453
1621578924.018301,242240,-20.950000762939453
1621578951.710235,248119,-20.959999084472656
1621578979.4765136,254011,-20.969999313354492
1621579005.915103,259631,-20.969999313354492
1621579039.075352,266633,-20.969999313354492
1621579068.0751724,272913,-20.969999313354492
1621579094.1873407,278501,-20.979999542236328
1621579122.7183244,284665,-20.969999313354492
1621579149.8267648,290362,-20.959999084472656
1621579178.5927553,296418,-20.950000762939453
1621579200.9216475,301157,-20.950000762939453
1621579234.355296,308339,-20.950000762939453
1621579260.502108,314024,-20.950000762939453
1621579292.826047,320870,-20.950000762939453
1621579324.5556333,327636,-20.959999084472656
1621579356.0096474,334431,-20.969999313354492
1621579389.5865457,341566,-20.959999084472656
1621579421.4021523,348382,-20.959999084472656
1621579455.1912043,355672,-20.950000762939453
1621579495.7497804,364382,-20.950000762939453
1621579523.8390088,370473,-20.899999618530273
1621579559.5957334,378108,-20.860000610351562
1621579588.9915257,384400,-20.850000381469727
1621579626.441685,392395,-20.799999237060547
1621579652.973612,398124,-20.780000686645508
1621579687.7703352,405621,-20.709999084472656
1621579716.668469,411793,-20.700000762939453
1621579753.7176566,419718,-20.670000076293945
1621579783.5990298,426022,-20.649999618530273
1621579827.4667,435309,-20.610000610351562
1621579864.4117806,443283,-20.56999969482422
1621579903.0726411,451634,-20.530000686645508
1621579941.1272588,459733,-20.479999542236328
1621579985.2419655,469044,-20.399999618530273
1621580028.509393,478238,-20.3700008392334
1621580071.446542,487559,-20.350000381469727
1621580117.6150315,497478,-20.309999465942383
1621580162.4131322,507209,-20.25
1621580211.88534,517855,-20.170000076293945
1621580265.8244176,529427,-20.06999969482422
1621580313.8641849,539586,-20.040000915527344
1621580366.233808,550680,-19.90999984741211
1621580411.8374,560321,-19.829999923706055
1621580462.098415,570681,-19.75
1621580507.9354556,580344,-19.610000610351562
1621580560.9358,591534,-19.530000686645508
1621580614.594289,602673,-19.350000381469727
1621580657.4412653,611818,-19.239999771118164
1621580700.2697592,620809,-19.149999618530273
1621580737.7211587,628744,-19.100000381469727
1621580784.5433376,638506,-19.030000686645508
1621580821.7926192,646357,-18.959999084472656
1621580857.1353962,653707,-18.8799991607666
1621580891.3545523,660865,-18.8700008392334
1621580925.6911237,668186,-18.780000686645508
1621580964.9330022,676526,-18.639999389648438
1621580991.813087,682417,-18.579999923706055
1621581014.3751261,687073,-18.6299991607666
1621581038.303022,692290,-18.670000076293945
1621581065.6027682,697872,-18.75
1621581104.0777078,706068,-18.59000015258789
1621581143.143096,714559,-18.6200008392334
1621581193.201797,724901,-18.510000228881836
1621581245.429598,735921,-18.389999389648438
1621581292.8978474,745986,-18.389999389648438
1621581329.7559004,753816,-18.459999084472656
1621581375.814142,763461,-18.520000457763672
1621581419.796613,772748,-18.479999542236328
1621581463.706651,782114,-18.40999984741211
1621581504.9930902,790921,-18.420000076293945
1621581552.6800401,801142,-18.350000381469727
1621581602.0411675,810994,-18.280000686645508
1621581651.9431064,821695,-18.190000534057617
1621581708.2199402,833753,-17.959999084472656
1621581760.704468,845118,-17.790000915527344
1621581817.8781476,857162,-17.600000381469727
1621581875.25365,869427,-17.469999313354492
1621581927.7141795,880622,-17.260000228881836
1621581985.99534,893109,-17.0
1621582042.5552576,905320,-16.790000915527344
1621582102.0177848,918140,-16.700000762939453
