Wall time,Step,Value
1621574783.7465491,4895,-20.399999618530273
1621574805.642469,9381,-20.399999618530273
1621574829.2960317,14197,-20.266666412353516
1621574852.440355,18868,-20.350000381469727
1621574875.4039903,23512,-20.280000686645508
1621574897.2461402,27906,-20.366666793823242
1621574920.3394966,32608,-20.257143020629883
1621574943.424533,37296,-20.299999237060547
1621574966.936394,42045,-20.311111450195312
1621574989.7989233,46637,-20.31999969482422
1621575011.6501033,51150,-20.363636016845703
1621575034.7205186,55869,-20.33333396911621
1621575059.431133,60886,-20.369230270385742
1621575082.1919572,65394,-20.41428565979004
1621575106.9229617,70298,-20.399999618530273
1621575129.692256,74794,-20.412500381469727
1621575152.0153325,79152,-20.435293197631836
1621575175.690343,83684,-20.433332443237305
1621575199.1193492,88161,-20.44210433959961
1621575223.490975,92788,-20.420000076293945
1621575245.9916997,97069,-20.43000030517578
1621575270.7535074,101781,-20.450000762939453
1621575296.409533,106643,-20.479999542236328
1621575326.2178977,112309,-20.440000534057617
1621575351.7682428,117164,-20.450000762939453
1621575379.5479708,122510,-20.43000030517578
1621575410.9167213,128572,-20.479999542236328
1621575446.3406632,135392,-20.479999542236328
1621575479.7828062,141878,-20.489999771118164
1621575515.5052564,148704,-20.469999313354492
1621575553.6763027,155938,-20.3799991607666
1621575593.7552905,163619,-20.34000015258789
1621575638.1943426,172230,-20.280000686645508
1621575681.701883,180734,-20.200000762939453
1621575725.4060323,189307,-20.139999389648438
1621575770.0381866,197869,-20.100000381469727
1621575813.127022,206308,-20.020000457763672
1621575857.1243255,214900,-19.950000762939453
1621575900.3093214,223110,-19.8799991607666
1621575945.870215,231605,-19.850000381469727
1621575988.7918801,239652,-19.770000457763672
1621576035.973313,248623,-19.65999984741211
1621576080.2880824,256988,-19.540000915527344
1621576125.6322346,265773,-19.389999389648438
1621576172.9995272,274894,-19.270000457763672
1621576210.8628805,282234,-19.190000534057617
1621576255.2645795,290770,-19.1200008392334
1621576290.0064185,297373,-19.09000015258789
1621576323.8242974,303938,-19.059999465942383
1621576358.7099435,310703,-19.020000457763672
1621576396.4463627,317934,-19.010000228881836
1621576431.4667518,324761,-19.020000457763672
1621576469.4586792,332025,-19.049999237060547
1621576515.7722282,341018,-19.0
1621576557.4807804,349073,-19.010000228881836
1621576603.7673376,357878,-18.93000030517578
1621576649.5033932,366563,-18.8700008392334
1621576697.757867,375757,-18.81999969482422
1621576744.5345259,384567,-18.84000015258789
1621576795.4864647,394179,-18.770000457763672
1621576843.6137602,403343,-18.719999313354492
1621576889.866594,412164,-18.719999313354492
1621576936.4044116,421061,-18.670000076293945
1621576982.6035714,429974,-18.719999313354492
1621577025.6011875,438208,-18.68000030517578
1621577058.9331343,444624,-18.670000076293945
1621577091.939639,451033,-18.690000534057617
1621577123.4174168,457102,-18.68000030517578
1621577154.0174491,462987,-18.6299991607666
1621577186.3959255,469214,-18.65999984741211
1621577216.3695242,475116,-18.700000762939453
1621577244.383114,480573,-18.700000762939453
1621577269.4905715,485457,-18.690000534057617
1621577296.6490457,490684,-18.729999542236328
1621577328.3866005,496624,-18.75
1621577356.0709877,501750,-18.81999969482422
1621577382.5249186,506685,-18.90999984741211
1621577406.0991485,511220,-19.010000228881836
1621577433.1445656,516335,-19.010000228881836
1621577460.9902256,521653,-19.06999969482422
1621577488.65903,526987,-19.149999618530273
1621577517.4468043,532429,-19.18000030517578
1621577548.4401927,538358,-19.239999771118164
1621577576.8141885,543778,-19.34000015258789
1621577609.5823913,550127,-19.399999618530273
1621577638.930602,555850,-19.440000534057617
1621577669.3148043,561829,-19.420000076293945
1621577699.8476496,567824,-19.399999618530273
1621577732.0550532,574102,-19.3700008392334
1621577766.3936853,580775,-19.309999465942383
1621577800.522051,587289,-19.25
1621577844.7307212,595726,-19.06999969482422
1621577886.1358154,603738,-18.950000762939453
1621577925.60498,611451,-18.8700008392334
1621577965.216854,619081,-18.81999969482422
1621578012.4621484,628031,-18.6200008392334
1621578055.975276,636287,-18.469999313354492
1621578101.8009188,644925,-18.34000015258789
1621578157.1362314,655548,-18.100000381469727
1621578211.0878258,665869,-17.950000762939453
1621578258.194461,674841,-17.8799991607666
1621578305.7454093,683894,-17.81999969482422
1621578356.3108058,693723,-17.780000686645508
1621578409.7310393,704228,-17.6299991607666
1621578460.4258895,714268,-17.56999969482422
1621578515.5135922,724890,-17.5
1621578567.058947,734852,-17.420000076293945
1621578614.082558,744030,-17.290000915527344
1621578660.073745,753026,-17.270000457763672
1621578708.9738946,762439,-17.299999237060547
1621578766.052762,773145,-17.18000030517578
1621578820.7812572,783328,-17.200000762939453
1621578862.4382138,791249,-17.270000457763672
1621578909.083512,800108,-17.290000915527344
1621578949.5522008,807886,-17.270000457763672
1621578993.6847675,816301,-17.34000015258789
1621579044.5248368,826161,-17.290000915527344
1621579092.6240082,835587,-17.25
1621579138.932027,844623,-17.329999923706055
1621579186.3141723,853912,-17.389999389648438
1621579230.055952,862476,-17.40999984741211
1621579284.491605,872997,-17.329999923706055
1621579335.3975942,882890,-17.219999313354492
1621579386.0285275,892711,-17.209999084472656
1621579433.9822187,901954,-17.149999618530273
1621579485.1971838,911773,-17.010000228881836
1621579537.4660113,921723,-16.920000076293945
1621579589.0024645,931523,-16.889999389648438
1621579636.8564277,940512,-16.790000915527344
1621579690.1198316,950642,-16.670000076293945
1621579743.072036,960940,-16.719999313354492
1621579799.0612762,971869,-16.760000228881836
1621579846.5069628,981370,-16.639999389648438
1621579902.6147602,992462,-16.520000457763672
